,CUID,Species,Year,LGL counts,Total run,Region
851,421,Lake Sockeye,1988,2000,6771,Nass
852,422,Lake Sockeye,1988,2500,7293,Nass
853,423,Lake Sockeye,1988,NA,NA,Nass
854,419,Lake Sockeye,1988,NA,NA,Nass
855,424,Lake Sockeye,1988,116984,289467,Nass
856,425,Lake Sockeye,1988,NA,NA,Nass
857,426,River Sockeye,1988,2701,4984,Nass
858,427,River Sockeye,1988,NA,NA,Nass
859,401,Chinook,1989,1068,1354,Nass
860,402,Chinook,1989,28133,36997,Nass
861,405,Chum,1989,5420,11485,Nass
862,406,Chum,1989,40028,84818,Nass
863,404,Chum,1989,12755,27027,Nass
864,408,Coho,1989,NA,NA,Nass
865,410,Coho,1989,NA,NA,Nass
866,409,Coho,1989,NA,NA,Nass
867,414,Pink (Odd),1989,1023199,2448618,Nass
868,219,Pink (Even),1989,NA,NA,Nass
869,412,Pink (Even),1989,NA,NA,Nass
870,415,Pink (Odd),1989,NA,NA,Nass
871,420,Lake Sockeye,1989,NA,NA,Nass
872,418,Lake Sockeye,1989,NA,NA,Nass
873,421,Lake Sockeye,1989,5000,32650,Nass
874,422,Lake Sockeye,1989,15000,65621,Nass
875,423,Lake Sockeye,1989,NA,NA,Nass
876,419,Lake Sockeye,1989,NA,NA,Nass
877,424,Lake Sockeye,1989,50000,179075,Nass
878,425,Lake Sockeye,1989,NA,NA,Nass
879,426,River Sockeye,1989,3511,7276,Nass
880,427,River Sockeye,1989,NA,NA,Nass
881,401,Chinook,1990,2460,3117,Nass
882,402,Chinook,1990,24051,31608,Nass
883,405,Chum,1990,5420,9847,Nass
884,406,Chum,1990,41016,74519,Nass
885,404,Chum,1990,7108,12915,Nass
886,408,Coho,1990,NA,NA,Nass
887,410,Coho,1990,NA,NA,Nass
888,409,Coho,1990,NA,NA,Nass
889,414,Pink (Odd),1990,NA,NA,Nass
890,219,Pink (Even),1990,3431780,6149956,Nass
891,412,Pink (Even),1990,NA,NA,Nass
892,415,Pink (Odd),1990,NA,NA,Nass
893,420,Lake Sockeye,1990,NA,NA,Nass
894,418,Lake Sockeye,1990,NA,NA,Nass
895,421,Lake Sockeye,1990,4000,14431,Nass
896,422,Lake Sockeye,1990,14000,39516,Nass
897,423,Lake Sockeye,1990,NA,NA,Nass
898,419,Lake Sockeye,1990,NA,NA,Nass
899,424,Lake Sockeye,1990,120954,293766,Nass
900,425,Lake Sockeye,1990,NA,NA,Nass
901,426,River Sockeye,1990,1431,2428,Nass
902,427,River Sockeye,1990,NA,NA,Nass
903,401,Chinook,1991,1019,1523,Nass
904,402,Chinook,1991,6907,11149,Nass
905,405,Chum,1991,5420,12700,Nass
906,406,Chum,1991,26710,62589,Nass
907,404,Chum,1991,19013,44552,Nass
908,408,Coho,1991,NA,NA,Nass
909,410,Coho,1991,NA,NA,Nass
910,409,Coho,1991,NA,NA,Nass
911,414,Pink (Odd),1991,637448,3309418,Nass
912,219,Pink (Even),1991,NA,NA,Nass
913,412,Pink (Even),1991,NA,NA,Nass
914,415,Pink (Odd),1991,NA,NA,Nass
915,420,Lake Sockeye,1991,NA,NA,Nass
916,418,Lake Sockeye,1991,NA,NA,Nass
917,421,Lake Sockeye,1991,3000,13719,Nass
918,422,Lake Sockeye,1991,2000,6769,Nass
919,423,Lake Sockeye,1991,NA,NA,Nass
920,419,Lake Sockeye,1991,NA,NA,Nass
921,424,Lake Sockeye,1991,250000,753898,Nass
922,425,Lake Sockeye,1991,NA,NA,Nass
923,426,River Sockeye,1991,1431,2688,Nass
924,427,River Sockeye,1991,NA,NA,Nass
925,401,Chinook,1992,908,1609,Nass
926,402,Chinook,1992,16808,35292,Nass
927,405,Chum,1992,NA,NA,Nass
928,406,Chum,1992,28063,63106,Nass
929,404,Chum,1992,11055,24860,Nass
930,408,Coho,1992,18527,51651,Nass
931,410,Coho,1992,27248,74026,Nass
932,409,Coho,1992,63409,177225,Nass
933,414,Pink (Odd),1992,NA,NA,Nass
934,219,Pink (Even),1992,597072,1126338,Nass
935,412,Pink (Even),1992,NA,NA,Nass
936,415,Pink (Odd),1992,NA,NA,Nass
937,420,Lake Sockeye,1992,NA,NA,Nass
938,418,Lake Sockeye,1992,NA,NA,Nass
939,421,Lake Sockeye,1992,4500,18235,Nass
940,422,Lake Sockeye,1992,5000,16213,Nass
941,423,Lake Sockeye,1992,NA,NA,Nass
942,419,Lake Sockeye,1992,NA,NA,Nass
943,424,Lake Sockeye,1992,592118,1682020,Nass
944,425,Lake Sockeye,1992,NA,NA,Nass
945,426,River Sockeye,1992,810,1553,Nass
946,427,River Sockeye,1992,NA,NA,Nass
947,401,Chinook,1993,1039,1711,Nass
948,402,Chinook,1993,24814,45797,Nass
949,405,Chum,1993,NA,NA,Nass
950,406,Chum,1993,98281,322911,Nass
951,404,Chum,1993,27208,89393,Nass
952,408,Coho,1993,12438,34091,Nass
953,410,Coho,1993,11954,32388,Nass
954,409,Coho,1993,18947,52028,Nass
955,414,Pink (Odd),1993,583393,1885997,Nass
956,219,Pink (Even),1993,NA,NA,Nass
957,412,Pink (Even),1993,NA,NA,Nass
958,415,Pink (Odd),1993,NA,NA,Nass
959,420,Lake Sockeye,1993,NA,NA,Nass
960,418,Lake Sockeye,1993,NA,NA,Nass
961,421,Lake Sockeye,1993,8150,45815,Nass
962,422,Lake Sockeye,1993,12000,60103,Nass
963,423,Lake Sockeye,1993,NA,NA,Nass
964,419,Lake Sockeye,1993,NA,NA,Nass
965,424,Lake Sockeye,1993,4.00E+05,1542703,Nass
966,425,Lake Sockeye,1993,NA,NA,Nass
967,426,River Sockeye,1993,1080,2840,Nass
968,427,River Sockeye,1993,NA,NA,Nass
969,401,Chinook,1994,3703,5952,Nass
970,402,Chinook,1994,21169,38284,Nass
971,405,Chum,1994,NA,NA,Nass
972,406,Chum,1994,73816,123937,Nass
973,404,Chum,1994,16680,28006,Nass
974,408,Coho,1994,30099,110061,Nass
975,410,Coho,1994,33719,122087,Nass
976,409,Coho,1994,143026,524528,Nass
977,414,Pink (Odd),1994,NA,NA,Nass
978,219,Pink (Even),1994,419130,636786,Nass
979,412,Pink (Even),1994,NA,NA,Nass
980,415,Pink (Odd),1994,NA,NA,Nass
981,420,Lake Sockeye,1994,NA,NA,Nass
982,418,Lake Sockeye,1994,NA,NA,Nass
983,421,Lake Sockeye,1994,3875,12114,Nass
984,422,Lake Sockeye,1994,2375,7473,Nass
985,423,Lake Sockeye,1994,NA,NA,Nass
986,419,Lake Sockeye,1994,NA,NA,Nass
987,424,Lake Sockeye,1994,158010,420525,Nass
988,425,Lake Sockeye,1994,NA,NA,Nass
989,426,River Sockeye,1994,7097,15944,Nass
990,427,River Sockeye,1994,NA,NA,Nass
